,Gender Inequality Index,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Gender Inequality Index,,,,,,,,,
,,Value,,Rank,,,,,,,
HDI rank,Country,,,,,,,,,,
,,2023,,2023,,,,,,,
,,,,,,,,,,,
162,Syrian Arab Republic,0.490,,127,,,,,,,
163,Mauritania,0.603,,161,,,,,,,
164,Nigeria,0.677,,171,,,,,,,
165,Tanzania (United Republic of),0.504,,134,,,,,,,
166,Haiti,0.618,,165,,,,,,,p
167,Lesotho,0.534,,144,,,,,,,
,Low human development,,,,,,,,,,
168,Pakistan,0.536,,145,,,,,,,
169,Senegal,0.490,,127,,,,,,,
170,Gambia,0.578,,154,,,,,,,
171,Congo (Democratic Republic of the),0.604,,162,,,,,,,
172,Malawi,0.581,,155,,,,,,,
173,Benin,0.573,,153,,,,,,,
174,Guinea-Bissau,0.632,,166,,,,,,,
175,Djibouti,0.481,,122,,,,,,,
176,Sudan,0.588,,158,,,,,,,q
177,Liberia,0.646,,167,,,,,,,
178,Eritrea,..,,..,,,,,,,p
179,Guinea,0.609,,163,,,,,,,
180,Ethiopia,0.497,,131,,,,,,,
181,Afghanistan,0.661,,168,,,,,,,l
182,Mozambique,0.479,,120,,,,,,,
183,Madagascar,0.584,,156,,,,,,,
184,Yemen,0.838,,172,,,,,,,
185,Sierra Leone,0.566,,152,,,,,,,
186,Burkina Faso,0.555,,146,,,,,,,
187,Burundi,0.501,,132,,,,,,,
188,Mali,0.612,,164,,,,,,,
188,Niger,0.591,,160,,,,,,,r
190,Chad,0.670,,169,,,,,,,
191,Central African Republic,..,,..,,,,,,,
192,Somalia,0.675,,170,,,,,,,
193,South Sudan,..,,..,,,,,,,
,Other countries or territories,,,,,,,,,,
,Korea (Democratic People's Rep. of),..,,..,,,,,,,
,Monaco,..,,..,,,,,,,
,,,,,,,,,,,
,Human development groups,,,,,,,,,,
,Very high human development,0.125,,—,,,,,,,
,High human development,0.334,,—,,,,,,,
,Medium human development,0.513,,—,,,,,,,
,Low human development,0.571,,—,,,,,,,
,,,,,,,,,,,
,Developing countries,0.478,,—,,,,,,,
,,,,,,,,,,,
,Regions,,,,,,,,,,
,Arab States,0.539,,—,,,,,,,
,East Asia and the Pacific,0.315,,—,,,,,,,
,Europe and Central Asia,0.226,,—,,,,,,,
